,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
60,SingleProof,prove,nargo,16,1,8294.666666666666,1691.5006158241067,826381653.3333334,509439244.7272284,515232661.71203303,265127633.19283104,162751918.8926796,102131340.09599288,SingleProof,8.294666666666666,788.0989583333334,0.7696278889973959,0.7696278889973959,0.7696278889973959,8.294666666666666,8.294666666666666
90,SingleProof,prove,noir_rs,16,1,23155.333333333332,28.00595174839283,1250623488.0,3369332.852316019,796103861.3975724,6610696.319321471,512429615.0790529,3693374.899631186,SingleProof,23.15533333333333,1192.6875,1.16473388671875,1.16473388671875,1.16473388671875,23.15533333333333,23.15533333333333
61,SingleProof,prove,nargo,16,2,19841.0,166.77229985821987,2575766869.3333335,108296838.71690501,1303427320.7191923,101154286.55494837,483079149.4791427,34409290.36411489,SingleProof,19.841,2456.4427083333335,2.398869832356771,2.398869832356771,2.398869832356771,19.841,19.841
91,SingleProof,prove,noir_rs,16,2,44613.0,529.6196748611214,2479893162.6666665,12239367.071545064,1561587324.5547192,17050756.058564678,1019017552.76408,8207243.292592392,SingleProof,44.613,2365.0104166666665,2.3095804850260415,2.3095804850260415,2.3095804850260415,44.613,44.613
62,SingleProof,prove,nargo,16,3,26769.666666666668,3281.333011648366,3197435904.0,2207856389.0083537,1363120638.0637245,750573773.7859107,653218209.9344057,480755108.5664823,SingleProof,26.76966666666667,3049.3125,2.97784423828125,2.97784423828125,2.97784423828125,26.76966666666667,26.76966666666667
92,SingleProof,prove,noir_rs,16,3,51905.333333333336,61.78457196851988,2620555264.0,14868297.202182097,1491425204.8456771,10648775.356862092,1099016727.8265011,9438272.059336985,SingleProof,51.90533333333334,2499.15625,2.440582275390625,2.440582275390625,2.440582275390625,51.90533333333334,51.90533333333334
63,SingleProof,prove,nargo,16,4,40997.333333333336,2763.1327028091387,2917777408.0,3843891855.7702208,1136060464.7398705,1000228357.9452484,561464936.6393398,813446421.3798659,SingleProof,40.99733333333334,2782.609375,2.7173919677734375,2.7173919677734375,2.7173919677734375,40.99733333333334,40.99733333333334
93,SingleProof,prove,noir_rs,16,4,87092.0,354.81403579903656,4602076416.0,28794324.15053828,3014479325.365219,19701072.086363565,2039348684.3026917,12481385.549968887,SingleProof,87.092,4388.882080078125,4.286017656326294,4.286017656326294,4.286017656326294,87.092,87.092
64,SingleProof,prove,nargo,16,5,56140.333333333336,3004.7985512066093,7480415573.333333,5533241631.471756,2220610349.8491035,1258258649.2496078,1683853555.515624,1358792983.6385858,SingleProof,56.14033333333334,7133.880208333333,6.9666798909505205,6.9666798909505205,6.9666798909505205,56.14033333333334,56.14033333333334
94,SingleProof,prove,noir_rs,16,5,99799.0,8995.656674195609,5062890837.333333,48877954.554967456,2897114167.431381,105444317.42918418,2109373981.827278,22783219.563041776,SingleProof,99.799,4828.348958333333,4.7151845296223955,4.7151845296223955,4.7151845296223955,99.799,99.799
65,SingleProof,prove,nargo,16,6,70670.0,1872.8254056371618,9837013674.666666,7563759039.732131,2727634426.4162865,1657401562.0321577,2364475813.5229726,1901479029.5195434,SingleProof,70.67,9381.307291666666,9.161432902018229,9.161432902018229,9.161432902018229,70.67,70.67
95,SingleProof,prove,noir_rs,16,6,101126.0,692.2925682108685,5215283882.666667,36765332.15268556,2885994800.6270204,61887354.944990076,2204813755.7013683,12781281.071237016,SingleProof,101.126,4973.682291666667,4.8571116129557295,4.8571116129557295,4.8571116129557295,101.126,101.126
66,SingleProof,prove,nargo,16,7,87517.0,354.5941341872423,6274788010.666667,8923368238.201115,1943230466.4689424,2067612991.4782996,1596139559.696498,2550895496.0551662,SingleProof,87.517,5984.104166666667,5.843851725260417,5.843851725260417,5.843851725260417,87.517,87.517
96,SingleProof,prove,noir_rs,16,7,114831.0,,6531041792.0,,2950440512.4682755,,2251105482.182319,,SingleProof,114.831,6228.48681640625,6.0825066566467285,6.0825066566467285,6.0825066566467285,114.831,114.831
67,SingleProof,prove,nargo,16,8,119265.33333333333,1758.145708789046,11645222912.0,8964332905.871096,3631790167.8473086,2247177630.402288,3490651139.2923236,2903298099.860156,SingleProof,119.26533333333333,11105.75,10.845458984375,10.845458984375,10.845458984375,119.26533333333333,119.26533333333333
