,name,step,client,treeHeight,numConditions,executionTime_mean,executionTime_std,peakMemoryUsage_mean,peakMemoryUsage_std,meanMemoryUsage_mean,meanMemoryUsage_std,stdMemoryUsage_mean,stdMemoryUsage_std,mode,executionTime_meanS,peakMemoryUsage_meanM,peakMemoryUsage_meanG,provePeakMemoryG,verifyPeakMemoryG,verifyTimeS,proveTimesS
60,SingleProof,verify,nargo,16,1,7651.666666666667,1644.5574886069912,830144512.0,529126499.8217836,506283226.9449628,283918479.12449723,167481583.32804963,117662821.49244559,SingleProof,7.651666666666667,791.6875,0.77313232421875,0.77313232421875,0.77313232421875,7.651666666666667,7.651666666666667
90,SingleProof,verify,noir_rs,16,1,1007.6666666666666,62.803927690339016,256584362.66666666,3473459.5216304665,206618624.0,1408438.5000627134,80091706.0114132,4391181.426142924,SingleProof,1.0076666666666667,244.69791666666666,0.23896280924479166,0.23896280924479166,0.23896280924479166,1.0076666666666667,1.0076666666666667
61,SingleProof,verify,nargo,16,2,15243.666666666666,2790.861217139493,1135438506.6666667,1284719458.2158031,622019670.7137336,580188692.6879907,199999348.9422045,261408573.0266841,SingleProof,15.243666666666666,1082.8385416666667,1.0574595133463542,1.0574595133463542,1.0574595133463542,15.243666666666666,15.243666666666666
91,SingleProof,verify,noir_rs,16,2,1429.0,117.23480711802276,480433493.3333333,3022052.3758726125,368979286.6336508,11117349.160448125,167072167.6747711,3036053.2114299624,SingleProof,1.429,458.1770833333333,0.4474385579427083,0.4474385579427083,0.4474385579427083,1.429,1.429
62,SingleProof,verify,nargo,16,3,23384.333333333332,3607.141851013533,1796592981.3333333,2148989655.5722413,860289649.9085321,759813687.1500665,357937861.4142332,502084514.3986342,SingleProof,23.38433333333333,1713.3645833333333,1.6732076009114583,1.6732076009114583,1.6732076009114583,23.38433333333333,23.38433333333333
92,SingleProof,verify,noir_rs,16,3,1634.3333333333333,62.68439465555472,584886954.6666666,375881.0029002904,419774890.1685612,8298833.33170887,226552829.4392632,3224921.0736024375,SingleProof,1.6343333333333332,557.7916666666666,0.5447184244791666,0.5447184244791666,0.5447184244791666,1.6343333333333332,1.6343333333333332
63,SingleProof,verify,nargo,16,4,40667.666666666664,3502.584379188221,5252961621.333333,3927632739.616797,1698757383.6525288,1027245763.4125512,1117597725.3353224,873190426.0434961,SingleProof,40.66766666666666,5009.614583333333,4.892201741536458,4.892201741536458,4.892201741536458,40.66766666666666,40.66766666666666
93,SingleProof,verify,noir_rs,16,4,2305.0,330.82170424565555,933221717.3333334,30896124.832383074,644926515.6197454,23643260.82330215,356413186.1459511,6004102.598454965,SingleProof,2.305,889.9895833333334,0.8691304524739584,0.8691304524739584,0.8691304524739584,2.305,2.305
64,SingleProof,verify,nargo,16,5,53336.0,3126.8848715614713,7431088810.666667,5411919722.787025,2302937731.7796493,1313060191.1265004,1702276425.8297548,1358549685.7436903,SingleProof,53.336,7086.838541666667,6.9207407633463545,6.9207407633463545,6.9207407633463545,53.336,53.336
94,SingleProof,verify,noir_rs,16,5,2391.0,23.895606290697042,1005644458.6666666,10931459.969804835,650714454.0700396,6284526.8114256,406332851.91835624,5832740.326988666,SingleProof,2.391,959.0572916666666,0.9365793863932291,0.9365793863932291,0.9365793863932291,2.391,2.391
65,SingleProof,verify,nargo,16,6,66262.66666666667,1444.8440515617374,5413634048.0,7564297980.606328,1822945459.9131753,1869893257.4087772,1194649107.5739965,1890680966.241686,SingleProof,66.26266666666668,5162.84375,5.041839599609375,5.041839599609375,5.041839599609375,66.26266666666668,66.26266666666668
95,SingleProof,verify,noir_rs,16,6,2800.6666666666665,235.05814883414138,1168643413.3333333,22535632.65802899,780258784.6530613,28043658.953282747,463615534.4489574,8295188.679413924,SingleProof,2.8006666666666664,1114.5052083333333,1.0883839925130208,1.0883839925130208,1.0883839925130208,2.8006666666666664,2.8006666666666664
66,SingleProof,verify,nargo,16,7,86027.66666666667,531.7352097927418,16578057557.333334,828702183.8001168,4447183851.66394,67441615.27587017,4670227406.9271555,126931651.59434555,SingleProof,86.02766666666668,15810.067708333334,15.439519246419271,15.439519246419271,15.439519246419271,86.02766666666668,86.02766666666668
96,SingleProof,verify,noir_rs,16,7,2925.0,,1419755520.0,,882860140.2643172,,591758480.5596958,,SingleProof,2.925,1353.984375,1.3222503662109375,1.3222503662109375,1.3222503662109375,2.925,2.925
67,SingleProof,verify,nargo,16,8,114411.0,263.39893697583517,17384467114.666668,1131461422.4761467,5013285135.105318,105843716.60918054,5415613446.701835,217253439.99136114,SingleProof,114.411,16579.119791666668,16.19054667154948,16.19054667154948,16.19054667154948,114.411,114.411
97,SingleProof,verify,noir_rs,16,8,3822.0,69.54854419756032,2000420864.0,52485785.35104559,1209855687.550855,21622312.71997596,779688415.3721018,8724030.08340365,SingleProof,3.822,1907.75,1.863037109375,1.863037109375,1.863037109375,3.822,3.822
68,SingleProof,verify,nargo,16,9,136509.66666666666,1400.1504681045271,13088604160.0,10113807024.113731,4257761576.0608144,2866194540.453943,4200460759.60747,3571990776.9645386,SingleProof,136.50966666666665,12482.265625,12.189712524414062,12.189712524414062,12.189712524414062,136.50966666666665,136.50966666666665
98,SingleProof,verify,noir_rs,16,9,4455.333333333333,893.3920378721391,2136844970.6666667,11017266.459096856,1378254960.160639,112189624.79695201,839995947.5078846,9250282.355639048,SingleProof,4.455333333333333,2037.8541666666667,1.9900919596354167,1.9900919596354167,1.9900919596354167,4.455333333333333,4.455333333333333
69,SingleProof,verify,nargo,16,10,235457.66666666666,127850.40718485543,7700884138.666667,9981728120.655378,3041902402.325363,2980972895.3536663,2315629555.749485,3799931068.0215163,SingleProof,235.45766666666665,7344.135416666667,7.172007242838542,7.172007242838542,7.172007242838542,235.45766666666665,235.45766666666665
99,SingleProof,verify,noir_rs,16,10,4336.333333333333,28.53652630109933,2150596608.0,10697873.801629182,1287276263.7029595,5583535.54440518,863620473.7442476,1838138.5215505774,SingleProof,4.336333333333333,2050.96875,2.002899169921875,2.002899169921875,2.002899169921875,4.336333333333333,4.336333333333333
70,SingleProof,verify,nargo,24,1,10408.0,65.77993615077473,1177731072.0,32843937.865286738,602870646.4606037,22516352.910440177,223772475.29757342,5413337.527279252,SingleProof,10.408,1123.171875,1.0968475341796875,1.0968475341796875,1.0968475341796875,10.408,10.408
100,SingleProof,verify,noir_rs,24,1,1695.0,256.97470692657674,282389162.6666667,1104472.811140841,242700883.1452991,4141149.8456202536,76806025.76645364,4670773.324270483,SingleProof,1.695,269.3072916666667,0.2629954020182292,0.2629954020182292,0.2629954020182292,1.695,1.695
71,SingleProof,verify,nargo,24,2,20870.0,3154.3441473624907,2173053610.6666665,1423803077.1084132,947992586.3792576,464824260.6623195,425371247.58744234,305241883.2954717,SingleProof,20.87,2072.3854166666665,2.0238138834635415,2.0238138834635415,2.0238138834635415,20.87,20.87
101,SingleProof,verify,noir_rs,24,2,3392.6666666666665,198.03114233204158,534648149.3333333,6668294.709251338,464545436.632081,3797124.2124559097,152856471.85058793,4723012.515534833,SingleProof,3.3926666666666665,509.8802083333333,0.4979298909505208,0.4979298909505208,0.4979298909505208,3.3926666666666665,3.3926666666666665
72,SingleProof,verify,nargo,24,3,37854.0,3476.349953615142,4361409877.333333,3226039165.13507,1552671723.5340052,955520489.0298027,875854856.7483643,713070122.1560237,SingleProof,37.854,4159.364583333333,4.061879475911458,4.061879475911458,4.061879475911458,37.854,37.854
102,SingleProof,verify,noir_rs,24,3,5942.666666666667,329.1463706823049,772947968.0,26912479.28982954,668738903.1771015,7864506.494975862,202868093.18285894,6238837.512847569,SingleProof,5.942666666666667,737.140625,0.7198638916015625,0.7198638916015625,0.7198638916015625,5.942666666666667,5.942666666666667
73,SingleProof,verify,nargo,24,4,52325.0,2246.964174169228,6598055253.333333,4852661948.874066,1908938679.1136968,980443338.118626,1588676724.2638512,1290394739.8418825,SingleProof,52.325,6292.395833333333,6.144917805989583,6.144917805989583,6.144917805989583,52.325,52.325
103,SingleProof,verify,noir_rs,24,4,5290.0,631.7175001533518,1033300650.6666666,23895323.048277162,837696118.9878262,18172033.22114002,319988667.3253936,18008431.881174505,SingleProof,5.29,985.4322916666666,0.9623362223307291,0.9623362223307291,0.9623362223307291,5.29,5.29
74,SingleProof,verify,nargo,24,5,69769.0,146.85707337408027,1095712768.0,116882188.26562288,783886787.7828346,42707373.87179945,106182836.08522046,18599426.5029543,SingleProof,69.769,1044.953125,1.0204620361328125,1.0204620361328125,1.0204620361328125,69.769,69.769
104,SingleProof,verify,noir_rs,24,5,6790.333333333333,1351.2388143231135,1205605717.3333333,21775774.226893254,992890217.6052442,34968144.76352905,377151831.3945883,28498870.21778808,SingleProof,6.790333333333333,1149.7552083333333,1.1228078206380208,1.1228078206380208,1.1228078206380208,6.790333333333333,6.790333333333333
75,SingleProof,verify,nargo,24,6,101524.66666666667,1993.0241677745246,10414418602.666666,8005072510.889456,3357871990.935122,2215407880.7609625,2952159528.1451745,2428201569.99957,SingleProof,101.52466666666668,9931.963541666666,9.699183146158854,9.699183146158854,9.699183146158854,101.52466666666668,101.52466666666668
105,SingleProof,verify,noir_rs,24,6,11513.0,292.47051133404887,1676219733.3333333,11903743.681598898,1443710644.3258064,23851157.9447607,463190240.6878302,8870954.91326756,SingleProof,11.513,1598.5677083333333,1.5611012776692708,1.5611012776692708,1.5611012776692708,11.513,11.513
76,SingleProof,verify,nargo,24,7,125436.33333333333,5659.751349072975,10568138752.0,7830640018.052988,3700804221.2906876,2466737570.8675547,3335163300.396295,2776306656.466571,SingleProof,125.43633333333332,10078.5625,9.84234619140625,9.84234619140625,9.84234619140625,125.43633333333332,125.43633333333332
106,SingleProof,verify,noir_rs,24,7,12121.0,1923.9810290125004,2111477077.3333333,4192394.231884858,1794219730.5500596,49835025.468781024,620086892.8564216,41046206.19437477,SingleProof,12.121,2013.6614583333333,1.9664662679036458,1.9664662679036458,1.9664662679036458,12.121,12.121
77,SingleProof,verify,nargo,24,8,164342.33333333334,100.75878787149983,1699867306.6666667,125026689.7494595,1258035140.3388216,81373864.68850839,100173942.19615377,2662431.9423650573,SingleProof,164.34233333333333,1621.1197916666667,1.5831247965494792,1.5831247965494792,1.5831247965494792,164.34233333333333,164.34233333333333
107,SingleProof,verify,noir_rs,24,8,12352.666666666666,1642.2656098613688,2153026901.3333335,21809869.36836276,1808230620.3530111,47364458.358393274,659739689.6756085,39769762.01026192,SingleProof,12.352666666666666,2053.2864583333335,2.005162556966146,2.005162556966146,2.005162556966146,12.352666666666666,12.352666666666666
78,SingleProof,verify,nargo,24,9,186046.66666666666,13258.891519781488,11906165418.666666,8825099803.672535,4162669771.2949634,2504340552.8228707,3598710373.6837955,2979817907.1473055,SingleProof,186.04666666666665,11354.604166666666,11.088480631510416,11.088480631510416,11.088480631510416,186.04666666666665,186.04666666666665
108,SingleProof,verify,noir_rs,24,9,14138.666666666666,2261.128553031281,2339919189.3333335,9504193.504149018,1970290237.759763,51444451.35484801,708533949.8424746,49936853.31546243,SingleProof,14.138666666666666,2231.5208333333335,2.1792195638020835,2.1792195638020835,2.1792195638020835,14.138666666666666,14.138666666666666
79,SingleProof,verify,nargo,24,10,241236.66666666666,168.41120311111442,1983294122.6666667,145165735.27289337,1151878103.618625,180918786.9813314,133154601.9869542,36168024.98008067,SingleProof,241.23666666666665,1891.4166666666667,1.8470865885416667,1.8470865885416667,1.8470865885416667,241.23666666666665,241.23666666666665
109,SingleProof,verify,noir_rs,24,10,5120.666666666667,43.84442191811114,2491056128.0,1506259.0992628061,1474123141.118824,12530847.07379095,1032259870.483007,5433046.762053363,SingleProof,5.120666666666667,2375.65625,2.319976806640625,2.319976806640625,2.319976806640625,5.120666666666667,5.120666666666667
80,SingleProof,verify,nargo,32,1,12269.333333333334,65.28654787422403,1812381696.0,47326896.248754956,1038806924.9995786,34049289.3738694,409885021.51537114,11937001.81398529,SingleProof,12.269333333333334,1728.421875,1.6879119873046875,1.6879119873046875,1.6879119873046875,12.269333333333334,12.269333333333334
110,SingleProof,verify,noir_rs,32,1,1095.6666666666667,41.621308645131926,317702144.0,1944319.039367768,244420909.81052634,1716893.2647484639,111448941.64247382,804190.4433631393,SingleProof,1.0956666666666668,302.984375,0.2958831787109375,0.2958831787109375,0.2958831787109375,1.0956666666666668,1.0956666666666668
81,SingleProof,verify,nargo,32,2,25255.666666666668,3197.402122557207,2897515861.3333335,1971294050.2629476,1393656012.587781,781463656.3089266,551795739.5574319,414992054.95969623,SingleProof,25.255666666666666,2763.2864583333335,2.698521931966146,2.698521931966146,2.698521931966146,25.255666666666666,25.255666666666666
111,SingleProof,verify,noir_rs,32,2,1649.6666666666667,4.618802153517023,601003349.3333334,8804419.726497674,414236125.8666666,10794189.469204841,240277770.77134237,9474977.49672848,SingleProof,1.6496666666666668,573.1614583333334,0.5597279866536459,0.5597279866536459,0.5597279866536459,1.6496666666666668,1.6496666666666668
82,SingleProof,verify,nargo,32,3,44402.0,2056.734304668447,3089061205.3333335,3894927815.0077057,1224356441.6717627,1030439736.9297692,639625894.0507287,933766298.447162,SingleProof,44.402,2945.9583333333335,2.8769124348958335,2.8769124348958335,2.8769124348958335,44.402,44.402
112,SingleProof,verify,noir_rs,32,3,2651.3333333333335,291.31655176685956,1015529472.0,26040253.55870407,713120923.3879365,29837857.280942176,382769641.00402933,12373570.20645951,SingleProof,2.6513333333333335,968.484375,0.9457855224609375,0.9457855224609375,0.9457855224609375,2.6513333333333335,2.6513333333333335
83,SingleProof,verify,nargo,32,4,65587.33333333333,523.1532598898091,4483399680.0,6087688467.217752,1600113471.8113825,1537275459.9119525,959019492.4199486,1498022433.9044797,SingleProof,65.58733333333333,4275.703125,4.1754913330078125,4.1754913330078125,4.1754913330078125,65.58733333333333,65.58733333333333
113,SingleProof,verify,noir_rs,32,4,2728.0,,1173995520.0,,754052501.735849,,477492040.53426164,,SingleProof,2.728,1119.609375,1.0933685302734375,1.0933685302734375,1.0933685302734375,2.728,2.728
84,SingleProof,verify,nargo,32,5,98922.0,4722.382873084308,10973189461.333334,8470173376.430377,3124341827.808351,2002613171.9820685,2852127886.1031013,2352990033.821031,SingleProof,98.922,10464.848958333334,10.219579060872396,10.219579060872396,10.219579060872396,98.922,98.922
114,SingleProof,verify,noir_rs,32,5,3591.0,,1697824768.0,,1041874155.1407408,,673151941.3743575,,SingleProof,3.591,1619.171875,1.5812225341796875,1.5812225341796875,1.5812225341796875,3.591,3.591
85,SingleProof,verify,nargo,32,6,133077.33333333334,10060.133812894006,5850202112.0,7694517583.617626,2321758777.553139,2222463560.879718,1640621574.6292965,2663122658.6684413,SingleProof,133.07733333333334,5579.1875,5.44842529296875,5.44842529296875,5.44842529296875,133.07733333333334,133.07733333333334
115,SingleProof,verify,noir_rs,32,6,4110.333333333333,120.23449310964527,2146172928.0,11296028.378978517,1322438291.8819633,23609734.714032598,852248194.0406817,3363691.5542665944,SingleProof,4.110333333333333,2046.75,1.998779296875,1.998779296875,1.998779296875,4.110333333333333,4.110333333333333
86,SingleProof,verify,nargo,32,7,169095.0,16236.373271146485,7431984469.333333,10112996357.577288,2741569963.58682,2797595502.5474515,2133673526.241924,3495758509.5891633,SingleProof,169.095,7087.692708333333,6.9215749104817705,6.9215749104817705,6.9215749104817705,169.095,169.095
116,SingleProof,verify,noir_rs,32,7,4780.333333333333,447.7838019997301,2229534720.0,2701919.8103156206,1383691551.2195122,66697498.48056461,915404791.0099016,14663689.31611294,SingleProof,4.780333333333333,2126.25,2.076416015625,2.076416015625,2.076416015625,4.780333333333333,4.780333333333333
