,treeHeight,numConditions,mode,networkName,gasUsed,modeId,gasUsedK
64,16,1,SingleProof,iota,453063,0,453.063
58,16,1,SingleProof,local,485635,0,485.635
115,16,2,SingleProof,iota,464837,0,464.837
80,16,2,SingleProof,local,513373,0,513.373
34,16,3,SingleProof,iota,476112,0,476.112
71,16,3,SingleProof,local,540576,0,540.576
87,16,4,SingleProof,iota,486043,0,486.043
68,16,4,SingleProof,local,566483,0,566.483
2,16,5,SingleProof,iota,498789,0,498.789
84,16,5,SingleProof,local,595253,0,595.253
57,16,6,SingleProof,iota,510059,0,510.059
59,16,6,SingleProof,local,622571,0,622.571
88,16,7,SingleProof,iota,521411,0,521.411
38,16,7,SingleProof,local,649863,0,649.863
69,16,8,SingleProof,iota,532863,0,532.863
91,16,8,SingleProof,local,677375,0,677.375
15,16,9,SingleProof,iota,544216,0,544.216
105,16,9,SingleProof,local,704632,0,704.632
112,16,10,SingleProof,iota,555553,0,555.553
52,16,10,SingleProof,local,732029,0,732.029
13,24,1,SingleProof,iota,453486,0,453.486
75,24,1,SingleProof,local,486010,0,486.01
44,24,2,SingleProof,iota,464777,0,464.777
47,24,2,SingleProof,local,513289,0,513.289
102,24,3,SingleProof,iota,476230,0,476.23
28,24,3,SingleProof,local,540706,0,540.706
19,24,4,SingleProof,iota,487465,0,487.465
29,24,4,SingleProof,local,567941,0,567.941
67,24,5,SingleProof,iota,498777,0,498.777
46,24,5,SingleProof,local,595205,0,595.205
110,24,6,SingleProof,iota,510201,0,510.201
74,24,6,SingleProof,local,622641,0,622.641
37,24,7,SingleProof,iota,521481,0,521.481
66,24,7,SingleProof,local,650029,0,650.029
5,24,8,SingleProof,iota,532827,0,532.827
8,24,8,SingleProof,local,677351,0,677.351
82,24,9,SingleProof,iota,544204,0,544.204
22,24,9,SingleProof,local,704704,0,704.704
21,24,10,SingleProof,iota,555505,0,555.505
49,24,10,SingleProof,local,732065,0,732.065
114,32,1,SingleProof,iota,453414,0,453.414
111,32,1,SingleProof,local,485962,0,485.962
65,32,2,SingleProof,iota,464837,0,464.837
17,32,2,SingleProof,local,513349,0,513.349
20,32,3,SingleProof,iota,476242,0,476.242
